"Genomic Location","Overlapping Gene(s)","Orientation","Query name","Query start","Query end","Query ori","Length","Score","E-val","%ID"
"CM009942.2:8024746-8025078 [Sequence]","LOC411361","Forward","Query_1","197","307","Forward","111 [Sequence]","367","2.4e-40","57.7 [Alignment]"
"CM009937.2:12492577-12492750 [Sequence]","LOC724893","Reverse","Query_1","195","252","Forward","58 [Sequence]","165","2.6e-30","51.7 [Alignment]"
"CM009937.2:12492347-12492502 [Sequence]","LOC724893","Reverse","Query_1","255","306","Forward","52 [Sequence]","165","2.6e-30","53.8 [Alignment]"
"CM009937.2:7829447-7829614 [Sequence]","LOC100576606","Forward","Query_1","200","255","Forward","56 [Sequence]","113","2e-09","35.7 [Alignment]"
"CM009937.2:7831341-7831478 [Sequence]","LOC100576606","Forward","Query_1","258","303","Forward","46 [Sequence]","102","2e-09","39.1 [Alignment]"
"CM009936.2:2038525-2038632 [Sequence]","LOC551086","Reverse","Query_1","196","231","Forward","36 [Sequence]","125","2e-10","61.1 [Alignment]"
"CM009936.2:2023180-2023308 [Sequence]","LOC102653602, LOC551086","Reverse","Query_1","261","303","Forward","43 [Sequence]","95","2e-10","39.5 [Alignment]"
"CM009936.2:2023327-2023404 [Sequence]","LOC102653602, LOC551086","Reverse","Query_1","231","256","Forward","26 [Sequence]","73","2e-10","50.0 [Alignment]"
"CM009943.2:3338151-3338318 [Sequence]","Br-c","Reverse","Query_1","196","251","Forward","56 [Sequence]","218","2.6e-32","66.1 [Alignment]"
"CM009943.2:3337773-3337961 [Sequence]","Br-c","Reverse","Query_1","246","308","Forward","63 [Sequence]","168","2.6e-32","47.6 [Alignment]"
"CM009943.2:6204408-6204581 [Sequence]","LOC726547","Reverse","Query_1","255","312","Forward","58 [Sequence]","186","1.5e-28","55.2 [Alignment]"
"CM009943.2:6222776-6222943 [Sequence]","LOC726547","Reverse","Query_1","196","251","Forward","56 [Sequence]","172","1.5e-28","55.4 [Alignment]"
"CM009944.2:9854006-9854245 [Sequence]","LOC100577180","Forward","Query_1","230","309","Forward","80 [Sequence]","186","1.3e-19","46.2 [Alignment]"
"CM009944.2:9853913-9854017 [Sequence]","LOC100577180","Forward","Query_1","200","234","Forward","35 [Sequence]","64","1.3e-19","31.4 [Alignment]"
"CM009941.2:4405985-4406143 [Sequence]","LOC113219102","Reverse","Query_1","254","306","Forward","53 [Sequence]","178","7.4e-26","52.8 [Alignment]"
"CM009941.2:4406267-4406437 [Sequence]","LOC113219102","Reverse","Query_1","196","252","Forward","57 [Sequence]","161","7.4e-26","50.9 [Alignment]"
"CM009940.2:10522723-10522926 [Sequence]","LOC100576963","Forward","Query_1","198","265","Forward","68 [Sequence]","173","7.9e-16","42.6 [Alignment]"
"CM009940.2:10523074-10523196 [Sequence]","LOC100576963","Forward","Query_1","267","307","Forward","41 [Sequence]","90","7.9e-16","39.0 [Alignment]"
"CM009940.2:410824-410976 [Sequence]","LOC727269","Reverse","Query_1","262","312","Forward","51 [Sequence]","100","2.9e-12","33.3 [Alignment]"
"CM009940.2:411166-411264 [Sequence]","LOC727269","Reverse","Query_1","196","228","Forward","33 [Sequence]","66","2.9e-12","39.4 [Alignment]"
"CM009940.2:411091-411156 [Sequence]","LOC727269","Reverse","Query_1","231","252","Forward","22 [Sequence]","59","2.9e-12","45.5 [Alignment]"
"CM009940.2:10627213-10627278 [Sequence]","LOC410191","Forward","Query_1","231","252","Forward","22 [Sequence]","84","0.074","68.2 [Alignment]"
"CM009939.2:5543383-5543727 [Sequence]","LOC409022","Reverse","Query_1","196","310","Forward","115 [Sequence]","342","6.1e-37","53.9 [Alignment]"
"CM009939.2:10860662-10860847 [Sequence]","LOC725336","Reverse","Query_1","194","255","Forward","62 [Sequence]","199","6.4e-29","59.7 [Alignment]"
"CM009939.2:10859647-10859799 [Sequence]","LOC725336","Reverse","Query_1","258","308","Forward","51 [Sequence]","162","6.4e-29","51.0 [Alignment]"
"CM009939.2:10876283-10876417 [Sequence]","Psq","Forward","Query_1","195","239","Forward","45 [Sequence]","180","6.2e-20","68.9 [Alignment]"
"CM009939.2:10876658-10876738 [Sequence]","Psq","Forward","Query_1","238","264","Forward","27 [Sequence]","100","6.2e-20","66.7 [Alignment]"
"CM009939.2:10876730-10876822 [Sequence]","Psq","Forward","Query_1","261","291","Forward","31 [Sequence]","84","6.2e-20","48.4 [Alignment]"
"CM009931.2:10405603-10405959 [Sequence]","LOC725189","Reverse","Query_1","192","310","Forward","119 [Sequence]","544","2.1e-94","81.5 [Alignment]"
"CM009931.2:10241821-10241946 [Sequence]","LOC725189","Reverse","Query_1","627","668","Forward","42 [Sequence]","188","2.1e-94","90.5 [Alignment]"
"CM009931.2:10240739-10240861 [Sequence]","LOC725189","Reverse","Query_1","668","708","Forward","41 [Sequence]","153","2.1e-94","70.7 [Alignment]"
"CM009931.2:10241944-10242000 [Sequence]","LOC725189","Reverse","Query_1","608","626","Forward","19 [Sequence]","115","2.1e-94","100.0 [Alignment]"
"CM009931.2:19772519-19772677 [Sequence]","LOC409936","Reverse","Query_1","255","307","Forward","53 [Sequence]","176","2.2e-33","60.4 [Alignment]"
"CM009931.2:19772961-19773128 [Sequence]","LOC409936","Reverse","Query_1","197","252","Forward","56 [Sequence]","153","2.2e-33","44.6 [Alignment]"
"CM009931.2:10239523-10239624 [Sequence]","LOC725189","Reverse","Query_1","697","730","Forward","34 [Sequence]","142","2.2e-33","79.4 [Alignment]"
"CM009931.2:11670942-11671118 [Sequence]","LOC550977","Reverse","Query_1","194","252","Forward","59 [Sequence]","173","2.3e-23","55.9 [Alignment]"
"CM009931.2:11670641-11670808 [Sequence]","LOC550977","Reverse","Query_1","258","313","Forward","56 [Sequence]","149","2.3e-23","48.2 [Alignment]"
"CM009931.2:25839537-25839689 [Sequence]","LOC552090","Reverse","Query_1","256","306","Forward","51 [Sequence]","126","4.4e-17","43.1 [Alignment]"
"CM009931.2:25839810-25839968 [Sequence]","LOC552090","Reverse","Query_1","195","247","Forward","53 [Sequence]","105","4.4e-17","41.5 [Alignment]"
"CM009931.2:12413771-12413932 [Sequence]","LOC409259","Forward","Query_1","196","249","Forward","54 [Sequence]","135","5e-16","44.4 [Alignment]"
"CM009931.2:12414291-12414443 [Sequence]","LOC409259","Forward","Query_1","259","309","Forward","51 [Sequence]","132","5e-16","51.0 [Alignment]"
"CM009938.2:1925409-1925645 [Sequence]","LOC410107, LOC411841","Reverse","Query_1","230","308","Forward","79 [Sequence]","287","2.1e-42","62.0 [Alignment]"
"CM009938.2:1925646-1925774 [Sequence]","LOC410107, LOC411841","Reverse","Query_1","188","230","Forward","43 [Sequence]","133","2.1e-42","51.2 [Alignment]"
"CM009938.2:12291377-12291547 [Sequence]","LOC113218930, LOC412161","Reverse","Query_1","196","252","Forward","57 [Sequence]","218","3.9e-32","64.9 [Alignment]"
"CM009938.2:12289934-12290095 [Sequence]","LOC412161","Reverse","Query_1","255","308","Forward","54 [Sequence]","167","3.9e-32","53.7 [Alignment]"
"CM009938.2:1222932-1223078 [Sequence]","LOC551432, LOC102655507","Reverse","Query_1","238","286","Forward","49 [Sequence]","152","1.1e-19","59.2 [Alignment]"
"CM009938.2:1239672-1239803 [Sequence]","LOC551432","Reverse","Query_1","196","239","Forward","44 [Sequence]","140","1.1e-19","50.0 [Alignment]"
