"Genomic Location","Overlapping Gene(s)","Orientation","Query name","Query start","Query end","Query ori","Length","Score","E-val","%ID"
"CM009944.2:9854006-9854245 [Sequence]","LOC100577180","Forward","Query_1","134","213","Forward","80 [Sequence]","186","3e-19","46.2 [Alignment]"
"CM009944.2:9853913-9854002 [Sequence]","LOC100577180","Forward","Query_1","104","133","Forward","30 [Sequence]","60","3e-19","30.0 [Alignment]"
"CM009941.2:4405985-4406143 [Sequence]","LOC113219102","Reverse","Query_1","158","210","Forward","53 [Sequence]","164","6.7e-23","41.5 [Alignment]"
"CM009941.2:4406270-4406434 [Sequence]","LOC113219102","Reverse","Query_1","101","155","Forward","55 [Sequence]","151","6.7e-23","50.9 [Alignment]"
"CM009942.2:8024746-8025078 [Sequence]","LOC411361","Forward","Query_1","101","211","Forward","111 [Sequence]","360","1.2e-39","56.8 [Alignment]"
"CM009937.2:12492335-12492496 [Sequence]","LOC724893","Reverse","Query_1","161","214","Forward","54 [Sequence]","164","3e-28","50.0 [Alignment]"
"CM009937.2:12492580-12492744 [Sequence]","LOC724893","Reverse","Query_1","101","155","Forward","55 [Sequence]","149","3e-28","50.9 [Alignment]"
"CM009937.2:7829447-7829605 [Sequence]","LOC100576606","Forward","Query_1","104","156","Forward","53 [Sequence]","109","5e-10","35.8 [Alignment]"
"CM009937.2:7831341-7831478 [Sequence]","LOC100576606","Forward","Query_1","162","207","Forward","46 [Sequence]","109","5e-10","43.5 [Alignment]"
"CM009943.2:3338148-3338312 [Sequence]","Br-c","Reverse","Query_1","102","156","Forward","55 [Sequence]","223","2e-33","70.9 [Alignment]"
"CM009943.2:3337779-3337961 [Sequence]","Br-c","Reverse","Query_1","150","210","Forward","61 [Sequence]","169","2e-33","49.2 [Alignment]"
"CM009943.2:6204417-6204578 [Sequence]","LOC726547","Reverse","Query_1","160","213","Forward","54 [Sequence]","181","3.6e-28","59.3 [Alignment]"
"CM009943.2:6222773-6222940 [Sequence]","LOC726547","Reverse","Query_1","101","156","Forward","56 [Sequence]","172","3.6e-28","57.1 [Alignment]"
"CM009936.2:2038522-2038629 [Sequence]","LOC551086","Reverse","Query_1","101","136","Forward","36 [Sequence]","112","1.7e-08","50.0 [Alignment]"
"CM009936.2:2023180-2023308 [Sequence]","LOC102653602, LOC551086","Reverse","Query_1","165","207","Forward","43 [Sequence]","95","1.7e-08","41.9 [Alignment]"
"CM009946.2:785306-785626 [Sequence]","LOC412187","Forward","Query_1","101","207","Forward","107 [Sequence]","342","3.6e-37","57.0 [Alignment]"
"CM009933.2:4692567-4692869 [Sequence]","LOC724810","Reverse","Query_1","101","201","Forward","101 [Sequence]","355","6e-39","60.4 [Alignment]"
"CM009933.2:12035020-12035199 [Sequence]","LOC410918","Forward","Query_1","101","160","Forward","60 [Sequence]","221","1.2e-20","65.0 [Alignment]"
"CM009933.2:12026838-12027017 [Sequence]","LOC113218640, LOC113218618","Reverse","Query_1","101","160","Forward","60 [Sequence]","214","1.1e-19","63.3 [Alignment]"
"CM009933.2:12037052-12037261 [Sequence]","LOC410918","Forward","Query_1","144","213","Forward","70 [Sequence]","176","1.7e-14","42.9 [Alignment]"
"CM009933.2:12026128-12026187 [Sequence]","LOC113218640","Reverse","Query_1","101","120","Forward","20 [Sequence]","90","3.8e-09","70.0 [Alignment]"
"CM009933.2:12026054-12026149 [Sequence]","LOC113218640","Reverse","Query_1","114","145","Forward","32 [Sequence]","80","3.8e-09","53.1 [Alignment]"
"CM009932.2:2618855-2619043 [Sequence]","LOC412955","Reverse","Query_1","148","210","Forward","63 [Sequence]","183","3.5e-25","44.4 [Alignment]"
"CM009932.2:2628795-2628935 [Sequence]","LOC412955","Reverse","Query_1","102","148","Forward","47 [Sequence]","141","3.5e-25","55.3 [Alignment]"
"CM009932.2:2617841-2617966 [Sequence]","LOC412955","Reverse","Query_1","562","603","Forward","42 [Sequence]","79","3.5e-25","35.7 [Alignment]"
"CM009935.2:13493204-13493383 [Sequence]","LOC411126","Forward","Query_1","155","214","Forward","60 [Sequence]","178","1.2e-33","53.3 [Alignment]"
"CM009935.2:13492965-13493129 [Sequence]","LOC411126","Forward","Query_1","101","155","Forward","55 [Sequence]","175","1.2e-33","58.2 [Alignment]"
"CM009940.2:10522723-10522926 [Sequence]","LOC100576963","Forward","Query_1","102","169","Forward","68 [Sequence]","158","4e-13","41.2 [Alignment]"
"CM009940.2:10523086-10523196 [Sequence]","LOC100576963","Forward","Query_1","175","211","Forward","37 [Sequence]","83","4e-13","35.1 [Alignment]"
"CM009940.2:410842-410976 [Sequence]","LOC727269","Reverse","Query_1","166","210","Forward","45 [Sequence]","95","0.0019","35.6 [Alignment]"
"CM009940.2:11035703-11035885 [Sequence]","LOC551360","Reverse","Query_1","127","187","Forward","61 [Sequence]","83","0.083","34.4 [Alignment]"
"CM009931.2:10405600-10405944 [Sequence]","LOC725189","Reverse","Query_1","101","215","Forward","115 [Sequence]","504","2.9e-117","78.3 [Alignment]"
"CM009931.2:10241821-10242015 [Sequence]","LOC725189","Reverse","Query_1","527","591","Forward","65 [Sequence]","319","2.9e-117","90.8 [Alignment]"
"CM009931.2:10239523-10239624 [Sequence]","LOC725189","Reverse","Query_1","620","653","Forward","34 [Sequence]","171","2.9e-117","88.2 [Alignment]"
"CM009931.2:10240778-10240861 [Sequence]","LOC725189","Reverse","Query_1","591","618","Forward","28 [Sequence]","150","2.9e-117","96.4 [Alignment]"
"CM009931.2:10405000-10405062 [Sequence]","LOC725189","Reverse","Query_1","495","515","Forward","21 [Sequence]","92","2.9e-117","85.7 [Alignment]"
"CM009931.2:19772519-19772701 [Sequence]","LOC409936","Reverse","Query_1","151","211","Forward","61 [Sequence]","163","3.2e-23","44.3 [Alignment]"
"CM009931.2:19772970-19773128 [Sequence]","LOC409936","Reverse","Query_1","101","153","Forward","53 [Sequence]","156","3.2e-23","50.9 [Alignment]"
"CM009931.2:11670945-11671109 [Sequence]","LOC550977","Reverse","Query_1","101","155","Forward","55 [Sequence]","150","2.5e-19","50.9 [Alignment]"
"CM009931.2:11670653-11670808 [Sequence]","LOC550977","Reverse","Query_1","162","213","Forward","52 [Sequence]","140","2.5e-19","44.2 [Alignment]"
"CM009931.2:25839525-25839692 [Sequence]","LOC552090","Reverse","Query_1","159","214","Forward","56 [Sequence]","137","7.5e-19","42.9 [Alignment]"
"CM009931.2:25839795-25839959 [Sequence]","LOC552090","Reverse","Query_1","102","156","Forward","55 [Sequence]","106","7.5e-19","41.8 [Alignment]"
"CM009931.2:12413777-12413932 [Sequence]","LOC409259","Forward","Query_1","102","153","Forward","52 [Sequence]","138","1e-15","46.2 [Alignment]"
"CM009931.2:12414255-12414452 [Sequence]","LOC409259","Forward","Query_1","151","216","Forward","66 [Sequence]","125","1e-15","36.4 [Alignment]"
"CM009939.2:5543389-5543724 [Sequence]","LOC409022","Reverse","Query_1","101","212","Forward","112 [Sequence]","326","5.5e-35","50.0 [Alignment]"
"CM009939.2:10860680-10860838 [Sequence]","LOC725336","Reverse","Query_1","101","153","Forward","53 [Sequence]","184","1e-27","62.3 [Alignment]"
"CM009939.2:10859647-10859820 [Sequence]","LOC725336","Reverse","Query_1","155","212","Forward","58 [Sequence]","166","1e-27","48.3 [Alignment]"
"CM009939.2:10876292-10876417 [Sequence]","Psq","Forward","Query_1","102","143","Forward","42 [Sequence]","171","1e-16","69.0 [Alignment]"
"CM009939.2:10876658-10876738 [Sequence]","Psq","Forward","Query_1","142","168","Forward","27 [Sequence]","97","1e-16","63.0 [Alignment]"
"CM009939.2:10876655-10876822 [Sequence]","Psq","Forward","Query_1","140","195","Forward","56 [Sequence]","93","0.0036","37.5 [Alignment]"
"CM009938.2:1925409-1925645 [Sequence]","LOC410107, LOC411841","Reverse","Query_1","134","212","Forward","79 [Sequence]","284","4.3e-43","60.8 [Alignment]"
"CM009938.2:1925646-1925747 [Sequence]","LOC410107, LOC411841","Reverse","Query_1","101","134","Forward","34 [Sequence]","139","4.3e-43","70.6 [Alignment]"
"CM009938.2:12291380-12291544 [Sequence]","LOC113218930, LOC412161","Reverse","Query_1","101","155","Forward","55 [Sequence]","215","6.9e-32","69.1 [Alignment]"
"CM009938.2:12289934-12290092 [Sequence]","LOC412161","Reverse","Query_1","160","212","Forward","53 [Sequence]","166","6.9e-32","52.8 [Alignment]"
"CM009938.2:1222932-1223078 [Sequence]","LOC551432, LOC102655507","Reverse","Query_1","142","190","Forward","49 [Sequence]","162","1.2e-21","61.2 [Alignment]"
"CM009938.2:1239672-1239800 [Sequence]","LOC551432","Reverse","Query_1","101","143","Forward","43 [Sequence]","143","1.2e-21","51.2 [Alignment]"
"CM009934.2:8406101-8406463 [Sequence]","LOC102654975","Forward","Query_1","134","254","Forward","121 [Sequence]","253","7.1e-37","39.7 [Alignment]"
"CM009934.2:8406002-8406097 [Sequence]","LOC102654975","Forward","Query_1","102","133","Forward","32 [Sequence]","124","7.1e-37","65.6 [Alignment]"
"CM009934.2:10605600-10605767 [Sequence]","LOC725311","Forward","Query_1","101","156","Forward","56 [Sequence]","193","6.3e-36","60.7 [Alignment]"
"CM009934.2:10605837-10606010 [Sequence]","LOC725311","Forward","Query_1","155","212","Forward","58 [Sequence]","177","6.3e-36","56.9 [Alignment]"
