"Genomic Location","Overlapping Gene(s)","Orientation","Query name","Query start","Query end","Query ori","Length","Score","E-val","%ID"
"CM009931.2:10405885-10405968 [Sequence]","LOC725189","Reverse","Query_1","84","111","Forward","28 [Sequence]","100","2.1e-05","64.3 [Alignment]"
"CM009938.2:1925688-1925762 [Sequence]","LOC410107, LOC411841","Reverse","Query_1","87","111","Forward","25 [Sequence]","103","7.9e-06","68.0 [Alignment]"
"CM009938.2:12291485-12291553 [Sequence]","LOC113218930, LOC412161","Reverse","Query_1","89","111","Forward","23 [Sequence]","79","0.018","56.5 [Alignment]"
"CM009938.2:1239741-1239821 [Sequence]","LOC551432","Reverse","Query_1","85","111","Forward","27 [Sequence]","77","0.034","51.9 [Alignment]"
"CM009934.2:8405978-8406058 [Sequence]","LOC102654975","Forward","Query_1","85","111","Forward","27 [Sequence]","107","2.2e-06","70.4 [Alignment]"
"CM009946.2:785303-785365 [Sequence]","LOC412187","Forward","Query_1","91","111","Forward","21 [Sequence]","75","0.064","57.1 [Alignment]"
"CM009933.2:12026032-12026283 [Sequence]","LOC113218640","Reverse","Query_1","60","143","Forward","84 [Sequence]","452","2.3e-64","100.0 [Alignment]"
"CM009933.2:12027094-12027255 [Sequence]","LOC113218640, LOC113218618","Reverse","Query_1","13","66","Forward","54 [Sequence]","134","2.3e-64","96.3 [Alignment]"
"CM009933.2:12030648-12030689 [Sequence]","LOC113218640","Reverse","Query_1","1","14","Forward","14 [Sequence]","72","2.3e-64","100.0 [Alignment]"
"CM009933.2:12034939-12035079 [Sequence]","LOC410918","Forward","Query_1","65","111","Forward","47 [Sequence]","240","1.3e-42","100.0 [Alignment]"
"CM009933.2:12035084-12035155 [Sequence]","LOC410918","Forward","Query_1","113","136","Forward","24 [Sequence]","142","1.3e-42","100.0 [Alignment]"
"CM009933.2:12034878-12034943 [Sequence]","LOC410918","Forward","Query_1","45","66","Forward","22 [Sequence]","54","1.3e-42","95.5 [Alignment]"
"CM009933.2:12026958-12027098 [Sequence]","LOC113218640, LOC113218618","Reverse","Query_1","65","111","Forward","47 [Sequence]","240","1.1e-39","100.0 [Alignment]"
"CM009933.2:12026882-12026953 [Sequence]","LOC113218640, LOC113218618","Reverse","Query_1","113","136","Forward","24 [Sequence]","142","1.1e-39","100.0 [Alignment]"
"CM009933.2:4692810-4692896 [Sequence]","LOC724810","Reverse","Query_1","83","111","Forward","29 [Sequence]","100","1.8e-09","62.1 [Alignment]"
"CM009933.2:12034052-12034102 [Sequence]","","Reverse","Query_1","13","29","Forward","17 [Sequence]","95","1.8e-09","94.1 [Alignment]"
"CM009943.2:3338256-3338321 [Sequence]","Br-c","Reverse","Query_1","90","111","Forward","22 [Sequence]","82","0.0068","59.1 [Alignment]"
"CM009939.2:10876268-10876357 [Sequence]","Psq","Forward","Query_1","85","114","Forward","30 [Sequence]","102","1.1e-05","63.3 [Alignment]"
"CM009939.2:10860779-10860868 [Sequence]","LOC725336","Reverse","Query_1","82","111","Forward","30 [Sequence]","92","0.00027","53.3 [Alignment]"
"CM009939.2:5543665-5543727 [Sequence]","LOC409022","Reverse","Query_1","91","111","Forward","21 [Sequence]","75","0.064","57.1 [Alignment]"
